"Activity" "Name" "Mean" "STD"
"LAYING" "f_Body_Acc_Jerk_Mag" -0.974300115365226 -0.97318339962963
"SITTING" "f_Body_Acc_Jerk_Mag" -0.978684370388295 -0.978154770658413
"STANDING" "f_Body_Acc_Jerk_Mag" -0.971090423866737 -0.970947966726128
"WALKING" "f_Body_Acc_Jerk_Mag" -0.214653971925401 -0.221617770280105
"WALKING_DOWNSTAIRS" "f_Body_Acc_Jerk_Mag" 0.00476245916278094 -0.0422714225290824
"WALKING_UPSTAIRS" "f_Body_Acc_Jerk_Mag" -0.353961999926425 -0.434206731972435
"LAYING" "f_Body_Acc_Jerk_X" -0.980197655180041 -0.982459599243827
"SITTING" "f_Body_Acc_Jerk_X" -0.985188769302195 -0.98618495368036
"STANDING" "f_Body_Acc_Jerk_X" -0.980008693961175 -0.981826075755509
"WALKING" "f_Body_Acc_Jerk_X" -0.31112743843018 -0.287897688500499
"WALKING_DOWNSTAIRS" "f_Body_Acc_Jerk_X" -0.0722967761178656 -0.0821905158144886
"WALKING_UPSTAIRS" "f_Body_Acc_Jerk_X" -0.389896773119819 -0.388992761276127
"LAYING" "f_Body_Acc_Jerk_Y" -0.971383628894033 -0.973051242896091
"SITTING" "f_Body_Acc_Jerk_Y" -0.973988189836804 -0.975750855391109
"STANDING" "f_Body_Acc_Jerk_Y" -0.96454742224554 -0.966831630482686
"WALKING" "f_Body_Acc_Jerk_Y" -0.170395065771795 -0.0908699078702335
"WALKING_DOWNSTAIRS" "f_Body_Acc_Jerk_Y" -0.116380593184566 -0.091416460479564
"WALKING_UPSTAIRS" "f_Body_Acc_Jerk_Y" -0.364666839787014 -0.357632925658886
"LAYING" "f_Body_Acc_Jerk_Z" -0.976614530180041 -0.980971915740741
"SITTING" "f_Body_Acc_Jerk_Z" -0.97956197226224 -0.983670821046708
"STANDING" "f_Body_Acc_Jerk_Z" -0.976157838746065 -0.981509250650577
"WALKING" "f_Body_Acc_Jerk_Z" -0.451010514389593 -0.506329080412654
"WALKING_DOWNSTAIRS" "f_Body_Acc_Jerk_Z" -0.333190280461238 -0.443554664639787
"WALKING_UPSTAIRS" "f_Body_Acc_Jerk_Z" -0.591670061637306 -0.661590843134715
"LAYING" "f_Body_Acc_Mag" -0.94767271172428 -0.934916672889661
"SITTING" "f_Body_Acc_Mag" -0.952410413225098 -0.942000150701182
